Date,Open,High,Low,Close,Adj Close,Volume
2019-05-21,247.009995,251.179993,246.800003,249.940002,247.670090,5345300
2019-05-22,249.100006,251.029999,248.710007,249.339996,247.075531,4038000
2019-05-23,247.979996,248.149994,244.389999,246.500000,244.261322,3934600
2019-05-24,247.250000,249.360001,245.509995,247.630005,245.381073,2973900
2019-05-28,248.500000,249.300003,241.979996,242.059998,239.861649,6172700
2019-05-29,239.850006,243.029999,237.899994,242.399994,240.198547,3958400
2019-05-30,241.919998,245.350006,241.339996,243.500000,241.288574,2646600
2019-05-31,241.949997,243.619995,239.479996,241.800003,239.604019,3285700
2019-06-03,241.490005,243.800003,236.020004,236.559998,234.411606,4999400
2019-06-04,238.130005,241.050003,234.830002,240.759995,238.573456,4992000
2019-06-05,243.169998,245.789993,241.229996,242.770004,240.565216,3194400
2019-06-06,243.130005,243.940002,241.729996,241.820007,239.623840,2630100
2019-06-07,242.899994,247.070007,242.190002,246.770004,244.528885,2837400
2019-06-10,247.080002,249.669998,245.990005,248.139999,245.886444,2331000
2019-06-11,248.520004,250.690002,245.729996,245.869995,243.637039,3043000
2019-06-12,246.199997,246.500000,242.300003,244.500000,242.279480,3251800
2019-06-13,244.820007,245.339996,243.119995,244.960007,242.735321,3107800
2019-06-14,244.720001,246.100006,242.789993,245.369995,244.218323,2165500
2019-06-17,246.000000,247.100006,245.220001,245.970001,244.815506,2270300
2019-06-18,247.500000,249.339996,245.149994,245.699997,244.546768,3482500
2019-06-19,246.000000,251.369995,245.509995,250.190002,249.015701,4204600
2019-06-20,251.600006,252.820007,247.399994,247.759995,246.597107,3800800
2019-06-21,248.779999,253.490005,246.899994,252.279999,251.095886,6323500
2019-06-24,251.330002,252.630005,247.860001,249.639999,248.468277,3163800
2019-06-25,249.300003,251.039993,247.419998,247.660004,246.497574,3182700
2019-06-26,248.000000,248.080002,243.130005,243.470001,242.327240,3852900
2019-06-27,244.259995,248.149994,243.160004,246.339996,245.183762,3366200
2019-06-28,246.500000,246.750000,238.649994,244.009995,242.864700,6727600
2019-07-01,245.949997,246.169998,240.720001,242.639999,241.501144,4102700
2019-07-02,242.589996,243.990005,239.539993,243.970001,242.824890,3863500
2019-07-03,244.320007,247.520004,244.039993,245.210007,244.059082,2559400
2019-07-05,244.389999,248.759995,244.059998,246.990005,245.830719,2965000
2019-07-08,246.410004,247.979996,244.880005,247.839996,246.676727,1902500
2019-07-09,244.630005,246.080002,243.690002,246.000000,244.845367,2774800
2019-07-10,246.820007,249.110001,245.479996,247.479996,246.318420,2753000
2019-07-11,255.800003,261.690002,249.050003,261.160004,259.934204,10268800
2019-07-12,261.630005,266.519989,261.630005,265.899994,264.651947,5336100
2019-07-15,265.059998,267.649994,264.250000,265.959991,264.711670,2611400
2019-07-16,265.329987,267.140015,263.190002,264.660004,263.417786,3121600
2019-07-17,264.000000,268.690002,263.500000,266.649994,265.398438,3995200
2019-07-18,265.640015,266.510010,257.260010,260.600006,259.376862,5825800
2019-07-19,261.100006,262.720001,256.399994,256.649994,255.445374,4413200
2019-07-22,258.140015,258.950012,254.529999,255.320007,254.121628,4104300
2019-07-23,254.470001,256.100006,252.020004,255.009995,253.813080,2889300
2019-07-24,252.789993,252.830002,245.130005,251.130005,249.951294,4864000
2019-07-25,251.130005,252.750000,248.289993,248.699997,247.532684,3362800
2019-07-26,249.020004,253.880005,246.509995,252.940002,251.752792,3362600
2019-07-29,252.839996,255.300003,252.339996,253.820007,252.628677,2005500
2019-07-30,252.660004,255.059998,250.470001,254.929993,253.733444,1908800
2019-07-31,256.320007,257.160004,248.479996,249.009995,247.841232,3532400
2019-08-01,249.190002,251.580002,247.279999,249.250000,248.080109,3613600
2019-08-02,249.690002,251.570007,246.100006,250.050003,248.876358,2677600
2019-08-05,248.130005,249.940002,242.589996,245.059998,243.909775,5812400
2019-08-06,245.929993,248.279999,243.570007,248.279999,247.114670,3533000
2019-08-07,246.270004,247.039993,241.259995,246.449997,245.293259,3205800
2019-08-08,246.190002,247.669998,243.369995,247.619995,246.457764,2830700
2019-08-09,247.720001,250.419998,246.139999,248.630005,247.463028,2535000
2019-08-12,246.789993,247.960007,243.029999,243.199997,242.058502,2667400
2019-08-13,241.679993,250.460007,241.509995,249.220001,248.050262,2763400
2019-08-14,246.729996,248.410004,243.009995,243.199997,242.058502,3464300
2019-08-15,244.350006,245.259995,241.449997,244.250000,243.103577,2513500
2019-08-16,245.380005,247.110001,244.179993,245.690002,244.536819,2810000
2019-08-19,247.490005,248.490005,244.089996,244.710007,243.561432,2672300
2019-08-20,244.210007,244.600006,239.919998,240.160004,239.032776,3201300
2019-08-21,240.190002,241.889999,239.300003,240.350006,239.221893,2761900
2019-08-22,240.350006,240.350006,232.669998,232.940002,231.846664,4498200
2019-08-23,232.899994,235.100006,229.380005,230.660004,229.577377,4826600
2019-08-26,232.520004,234.559998,230.460007,231.080002,229.995392,2918300
2019-08-27,231.720001,232.399994,222.600006,222.929993,221.883636,4988100
2019-08-28,222.419998,229.770004,220.779999,227.350006,226.282913,4847600
2019-08-29,228.419998,232.300003,228.009995,230.619995,229.537552,4052500
2019-08-30,233.669998,235.050003,232.289993,234.000000,232.901688,3384100
2019-09-03,231.740005,232.169998,228.470001,230.619995,229.537552,3382300
2019-09-04,231.949997,232.949997,226.500000,226.729996,225.665802,4526100
2019-09-05,230.000000,231.509995,227.580002,229.589996,228.512390,4256900
2019-09-06,230.169998,231.960007,228.589996,229.000000,227.925156,4183200
2019-09-09,229.000000,232.000000,228.559998,230.679993,229.597260,3895600
2019-09-10,231.449997,234.289993,230.830002,232.460007,231.368927,4257600
2019-09-11,232.490005,234.250000,228.580002,234.210007,233.110718,3168100
2019-09-12,235.000000,236.399994,229.699997,230.100006,229.020004,4713700
2019-09-13,232.990005,236.559998,231.539993,233.610001,233.610001,4523200
2019-09-16,232.820007,236.050003,232.149994,234.429993,234.429993,2973600
2019-09-17,233.070007,233.990005,231.169998,232.520004,232.520004,2392900
2019-09-18,230.800003,233.130005,229.229996,230.610001,230.610001,2960500
2019-09-19,232.000000,233.949997,231.229996,232.850006,232.850006,2666700
2019-09-20,234.770004,235.000000,231.919998,232.889999,232.889999,6220100
2019-09-23,229.770004,230.779999,228.320007,228.770004,228.770004,3281200
2019-09-24,229.380005,229.839996,222.919998,225.000000,225.000000,5006800
2019-09-25,224.279999,226.500000,222.130005,222.169998,222.169998,4658000
2019-09-26,223.039993,223.630005,213.429993,215.479996,215.479996,10444400
2019-09-27,218.179993,218.880005,215.020004,215.259995,215.259995,4834900
2019-09-30,213.639999,218.529999,213.119995,217.320007,217.320007,5286300
2019-10-01,219.190002,219.190002,212.080002,217.210007,217.210007,5523600
2019-10-02,216.149994,219.360001,215.279999,216.750000,216.750000,4921200
2019-10-03,215.630005,216.360001,213.050003,215.360001,215.360001,3375800
